debit_id,order_id,amount_inr,timestamp,true_status
debit_b077f089,order_2327e5fc,13383.8,2026-08-31T00:14:00.319335,phantom_payment
debit_f166b6f2,order_64437f5f,19532.23,2026-08-30T08:14:00.319009,matched
debit_b0161645,order_280318d1,2848.0,2026-08-30T00:14:00.319394,phantom_payment
debit_e557f381,order_5c5097f6,15998.77,2026-08-29T20:14:00.319314,matched
debit_a7187082,order_e1d33dd2,14670.07,2026-08-25T04:14:00.319195,matched
debit_4aa1cd36,order_21e96347,1442.58,2026-08-20T12:14:00.318876,matched
debit_aa80db5c,order_199c5c7b,3549.75,2026-08-24T00:14:00.319229,matched
debit_051dd775,order_16ec6ce6,12723.33,2026-08-18T21:14:00.318949,matched
debit_6de61fc4,order_8ef9da9c,12009.09,2026-08-18T23:14:00.319306,matched
debit_1929bbc9,order_db159f3f,5784.89,2026-08-29T02:14:00.319515,phantom_payment
debit_8139f24a,order_f52bface,12296.49,2026-08-29T18:14:00.319209,matched
debit_c4a62aa8,order_858309eb,1726.99,2026-08-19T21:14:00.318854,matched
debit_67347636,order_77de72ac,5041.06,2026-08-19T13:14:00.318903,matched
debit_42c8ceec,order_3f1a2c27,12886.6,2026-08-23T09:14:00.319059,matched
debit_251b35b7,order_8dfe088f,16847.37,2026-08-29T21:14:00.319324,phantom_payment
debit_9bac4314,order_cda9ae85,8842.82,2026-08-29T20:14:00.318895,matched
debit_48bfeea3,order_82c95656,8078.02,2026-08-30T07:14:00.318837,matched
debit_df84c816,order_7a0cfcb1,3294.1,2026-08-20T21:14:00.319237,matched
debit_1306b45d,order_9620b4a0,6005.3,2026-08-28T06:14:00.319027,matched
debit_0fc59b2b,order_4afeb5ec,7900.09,2026-08-29T11:14:00.319352,phantom_payment
debit_0d52d46b,order_c2b146d8,15845.16,2026-08-24T15:14:00.319288,matched
debit_1c41d0a9,order_9e3f9b73,10079.37,2026-08-19T23:14:00.319107,matched
debit_0e2b689e,order_b79d7304,15362.05,2026-08-19T02:14:00.319274,matched
debit_1c096377,order_bb6a87f1,11835.17,2026-08-30T06:14:00.318993,matched
debit_42f33c00,order_be02ee05,6377.09,2026-08-27T11:14:00.319044,matched
debit_cbc8468b,order_24399256,7423.17,2026-08-26T00:14:00.319138,matched
debit_7dfc2794,order_3077d38a,11418.06,2026-08-26T22:14:00.319077,matched
debit_7ebd6024,order_d57a8bc5,9472.36,2026-08-21T15:14:00.319129,matched
debit_1bef53ee,order_bad83f0e,1912.54,2026-08-24T22:14:00.319155,matched
debit_0d99491f,order_853c0869,10646.37,2026-08-24T00:14:00.319162,matched
debit_2d199c79,order_c9b73d44,10025.75,2026-08-30T04:14:00.319367,phantom_payment
debit_96342000,order_fc241f26,2154.36,2026-08-18T21:14:00.318866,matched
debit_92271b62,order_c9071fe5,8663.03,2026-08-19T06:14:00.318910,matched
debit_be9c201c,order_c6801304,2219.38,2026-08-29T23:14:00.319069,matched
debit_dc0564be,order_7bd3e6ae,8723.57,2026-08-24T15:14:00.319120,matched
debit_81d90cad,order_08327484,8607.46,2026-08-29T16:14:00.319244,matched
debit_1082a99c,order_0b8d0779,15949.28,2026-08-26T03:14:00.319146,matched
debit_fa3422cf,order_f4369566,9148.99,2026-08-28T09:14:00.319446,phantom_payment
debit_b37ec558,order_b86091a8,9395.4,2026-08-30T10:14:00.319360,phantom_payment
debit_aef54e9f,order_e3ce55d1,2330.2,2026-08-19T03:14:00.319052,matched
debit_f4e855f5,order_fe771ecf,10951.51,2026-08-19T03:14:00.319035,matched
debit_a8408994,order_8192c75e,2997.45,2026-08-29T00:14:00.319482,phantom_payment
debit_dca8ec96,order_a9e20661,7000.41,2026-08-23T20:14:00.319298,matched
debit_437197f5,order_b5afde0c,2625.9,2026-08-22T09:14:00.319220,matched
debit_c094a13c,order_b31439ae,6679.51,2026-08-28T02:14:00.318723,matched
debit_ca01d250,order_ebde3d38,18361.28,2026-08-28T16:14:00.319409,phantom_payment
debit_4cd890f2,order_9daef5c5,6399.27,2026-08-28T22:14:00.319344,phantom_payment
debit_5c051197,order_500c0b68,11266.3,2026-08-28T11:14:00.319020,matched
debit_3a8a781e,order_5a8c83dd,13749.64,2026-08-29T07:14:00.319527,phantom_payment
debit_b55e1805,order_ef033b8b,18969.87,2026-08-19T00:14:00.318963,matched
debit_078af728,order_342df8c2,4529.55,2026-08-29T11:14:00.318886,matched
debit_c820688e,order_0970295d,2738.9,2026-08-26T13:14:00.318919,matched
