hour,attempted,succeeded,success_rate,primary_rail
0,195,178,0.913,bank_rail_A
1,199,173,0.869,bank_rail_A
2,230,193,0.839,bank_rail_A
3,211,184,0.872,bank_rail_A
4,237,215,0.907,bank_rail_A
5,104,90,0.865,bank_rail_A
6,116,96,0.828,bank_rail_A
7,257,228,0.887,bank_rail_A
8,232,215,0.927,bank_rail_A
9,195,173,0.887,bank_rail_A
10,237,211,0.89,bank_rail_A
11,239,196,0.82,bank_rail_A
12,215,177,0.823,bank_rail_A
13,89,32,0.36,bank_rail_A
14,141,57,0.404,bank_rail_A
15,198,169,0.854,bank_rail_A
16,231,210,0.909,bank_rail_A
17,212,179,0.844,bank_rail_A
18,155,135,0.871,bank_rail_A
19,249,89,0.357,bank_rail_A
20,247,93,0.377,bank_rail_A
21,221,205,0.928,bank_rail_A
22,101,90,0.891,bank_rail_A
23,160,144,0.9,bank_rail_A
