invoice_id,customer_id,customer_profile,on_time_payment_rate,amount_inr,days_overdue,due_date,reminder_count,is_disputed
inv_02094d26,cust_0,excellent,0.97,175941.58,89,2026-06-03T08:15:38.378354,2,False
inv_f312b7e5,cust_1,excellent,0.97,326023.91,61,2026-07-01T08:15:38.378395,4,False
inv_d2ed0782,cust_2,good,0.85,20436.72,1,2026-08-30T08:15:38.378410,4,False
inv_987d2853,cust_3,excellent,0.97,369775.58,30,2026-08-01T08:15:38.378419,0,False
inv_8c300419,cust_4,chronic_non_payer,0.15,252117.68,53,2026-07-09T08:15:38.378427,0,False
inv_17bc0282,cust_5,good,0.85,59586.78,89,2026-06-03T08:15:38.378435,2,True
inv_56c1a17a,cust_6,poor,0.45,63077.68,12,2026-08-19T08:15:38.378463,0,False
inv_f7f1d5f5,cust_7,good,0.85,169517.15,44,2026-07-18T08:15:38.378475,1,False
inv_dd7bb104,cust_8,excellent,0.97,43729.98,31,2026-07-31T08:15:38.378482,1,False
inv_e1b0462a,cust_9,chronic_non_payer,0.15,305595.09,85,2026-06-07T08:15:38.378489,4,False
inv_70d5dd86,cust_10,excellent,0.97,198385.27,72,2026-06-20T08:15:38.378495,3,False
inv_3ebf4575,cust_11,chronic_non_payer,0.15,172696.65,69,2026-06-23T08:15:38.378502,2,False
inv_25e08e02,cust_12,good,0.85,398014.45,41,2026-07-21T08:15:38.378508,3,False
inv_af59d9ce,cust_13,poor,0.45,291465.64,21,2026-08-10T08:15:38.378514,3,True
inv_81667476,cust_14,excellent,0.97,303047.77,77,2026-06-15T08:15:38.378519,1,False
inv_3c5de44d,cust_15,excellent,0.97,58393.21,80,2026-06-12T08:15:38.378525,1,False
inv_db68af49,cust_16,poor,0.45,148446.17,43,2026-07-19T08:15:38.378531,4,False
inv_756a071c,cust_17,excellent,0.97,40272.92,22,2026-08-09T08:15:38.378536,1,False
inv_92c1eb90,cust_18,good,0.85,29128.49,88,2026-06-04T08:15:38.378542,4,False
inv_dc0352e9,cust_19,chronic_non_payer,0.15,368346.76,53,2026-07-09T08:15:38.378548,1,False
inv_03635375,cust_20,good,0.85,204001.07,45,2026-07-17T08:15:38.378553,3,False
inv_bb21dcfd,cust_21,chronic_non_payer,0.15,77482.64,32,2026-07-30T08:15:38.378559,0,False
inv_e6c3d93d,cust_22,good,0.85,201021.58,95,2026-05-28T08:15:38.378586,2,True
inv_554ab7f5,cust_23,excellent,0.97,28383.16,38,2026-07-24T08:15:38.378598,1,False
inv_7b325827,cust_24,excellent,0.97,263492.66,44,2026-07-18T08:15:38.378605,1,False
inv_2d230d5d,cust_0,poor,0.45,34019.81,62,2026-06-30T08:15:38.378612,1,False
inv_00e8d671,cust_1,good,0.85,199440.65,94,2026-05-29T08:15:38.378662,1,False
inv_a1f93252,cust_2,good,0.85,354359.33,20,2026-08-11T08:15:38.378698,4,False
inv_9c36d35f,cust_3,good,0.85,133571.25,62,2026-06-30T08:15:38.378734,4,False
inv_6d485d28,cust_4,excellent,0.97,18939.92,93,2026-05-30T08:15:38.378744,1,False
inv_b8b9848f,cust_5,excellent,0.97,140575.32,76,2026-06-16T08:15:38.378751,1,False
inv_cb50e364,cust_6,good,0.85,278011.18,33,2026-07-29T08:15:38.378757,1,True
inv_6fbb19c4,cust_7,excellent,0.97,86871.94,13,2026-08-18T08:15:38.378762,3,False
inv_e1827ec0,cust_8,excellent,0.97,267299.46,16,2026-08-15T08:15:38.378767,1,False
inv_57dc328d,cust_9,chronic_non_payer,0.15,205138.7,51,2026-07-11T08:15:38.378773,1,False
inv_86c2d0f4,cust_10,excellent,0.97,92624.05,49,2026-07-13T08:15:38.378779,4,False
inv_3267d779,cust_11,good,0.85,351439.56,65,2026-06-27T08:15:38.378784,0,False
inv_cb38a46f,cust_12,excellent,0.97,347818.22,60,2026-07-02T08:15:38.378789,3,False
inv_c661a7c5,cust_13,excellent,0.97,104827.18,92,2026-05-31T08:15:38.378795,4,False
inv_61f482b2,cust_14,excellent,0.97,75126.79,50,2026-07-12T08:15:38.378800,2,False
